year,month,ET
2011,10,
2011,11,2.409364877
2011,12,2.551099781
2012,1,1.721188894
2012,2,1.955510267
2012,3,1.031740156
2012,4,1.331031873
2012,5,1.409587378
2012,6,
2012,7,
2012,8,1.776899634
2012,9,
2012,10,
2012,11,2.309511007
2012,12,2.167601921
2013,1,1.208227659
2013,2,0.794202505
2013,3,
2013,4,1.303582957
2013,5,1.43156768
2013,6,1.290759611
2013,7,1.512278186
2013,8,1.894913546
2013,9,2.195683777
2013,10,2.302335842
2013,11,2.280561822
2013,12,1.689093942
2014,1,1.294482003
2014,2,1.027008409
2014,3,0.878391047
2014,4,0.869869968
2014,5,1.565649922
2014,6,1.434829295
2014,7,1.726318977
2014,8,1.686010634
2014,9,1.583743409
2014,10,2.169604944
2014,11,2.349181882
2014,12,1.832507181
2015,1,1.499384652
2015,2,1.813184923
2015,3,1.912163654
2015,4,1.371424439
2015,5,1.17639761
2015,6,1.535111376
2015,7,1.576490143
2015,8,1.85087527
2015,9,1.937688198
2015,10,2.216908869
2015,11,1.957770735
2015,12,
2016,1,1.073724667
2016,2,1.040975239
2016,3,0.91615935
2016,4,1.692634006
2016,5,1.528906323
2016,6,1.429282898
2016,7,1.627563612
2016,8,1.799327987
2016,9,1.965214466
2016,10,1.714332998
2016,11,1.212353665
2016,12,1.262521381
2017,1,1.243944387
2017,2,1.988894334
2017,3,1.924525295
2017,4,1.126175125
2017,5,
2017,6,1.04133572
2017,7,1.847421485
2017,8,1.979431967
2017,9,2.101823661
2017,10,2.326128415
2017,11,2.335224528
2017,12,2.187024597
2018,1,2.282875629
2018,2,1.762911996
2018,3,1.260038566
2018,4,1.083631835
2018,5,1.106784991
2018,6,0.86909463
2018,7,1.815941778
2018,8,1.928404751
2018,9,2.112988508
2018,10,2.290094958
2018,11,2.108373806
2018,12,1.553213532
2019,1,
2019,2,0.838305985
2019,3,0.872087722
2019,4,1.093445931
2019,5,0.891430606
2019,6,1.465060757
2019,7,1.439768896
2019,8,1.973113652
2019,9,1.966576864
2019,10,2.211430453
2019,11,2.232720011
2019,12,1.753842585
2020,1,1.224941274
2020,2,1.099905176
2020,3,1.542273307
2020,4,1.008809973
2020,5,1.261168129
2020,6,1.794884129
2020,7,1.581180871
2020,8,1.810042894
2020,9,2.097135482
2020,10,2.291583222
2020,11,2.658192477
2020,12,2.275122507
2021,1,
2021,2,1.610628265
2021,3,1.634438262
2021,4,1.111280324
2021,5,1.275976196
2021,6,1.524956461
2021,7,2.023393855
2021,8,1.84318153
2021,9,2.022740249
2021,10,2.47119774
2021,11,2.594902063
2021,12,2.153318979
2022,1,1.427213212
2022,2,0.827719419
2022,3,1.161126367
2022,4,1.490147055
2022,5,1.394877839
2022,6,1.63787941
2022,7,1.77833368
2022,8,
2022,9,2.050349091
2022,10,